id,trecho,fonte,classe_origem,conectivo_score,vozpassiva_score,cliche_score,anotador,notas
001,"No mundo de hoje, a gestão de equipes desempenha um papel fundamental no sucesso das organizações, e vale ressaltar que líderes preparados fazem toda a diferença.","gerado: prompt raso, tema gestão",ia-sem-voz,,,,,
002,"É importante destacar que a saúde mental vem ganhando cada vez mais espaço nas discussões contemporâneas, e nota-se que o autocuidado se tornou indispensável.","gerado: prompt raso, tema saúde",ia-sem-voz,,,,,
003,"Diante disso, a educação se mostra como um pilar essencial para o desenvolvimento humano, sendo possível perceber que o aprendizado transforma realidades de maneira significativa.","gerado: prompt raso, tema educação",ia-sem-voz,,,,,
004,"No cenário atual, a tecnologia evolui de forma acelerada, e dessa forma constata-se que a transformação digital impacta todos os setores da sociedade.","gerado: prompt raso, tema tecnologia",ia-sem-voz,,,,,
005,"Vale ressaltar que a sustentabilidade deixou de ser uma opção para se tornar uma necessidade, e nesse sentido as empresas precisam repensar suas práticas.","gerado: prompt raso, tema sustentabilidade",ia-sem-voz,,,,,
006,"O marketing digital desempenha um papel fundamental no crescimento das marcas, e pode-se notar que as estratégias precisam acompanhar as mudanças do mercado.","gerado: prompt raso, tema marketing",ia-sem-voz,,,,,
007,"Em suma, a educação financeira é cada vez mais relevante no mundo de hoje, e é importante destacar que o planejamento garante segurança a longo prazo.","gerado: prompt raso, tema finanças",ia-sem-voz,,,,,
008,"Nesse sentido, a produtividade tornou-se um tema central no ambiente corporativo, e foi observado que a organização do tempo melhora os resultados de forma significativa.","gerado: prompt raso, tema produtividade",ia-sem-voz,,,,,
009,"Os relacionamentos interpessoais desempenham um papel fundamental na qualidade de vida, e diante disso constata-se que a comunicação é a base de toda conexão.","gerado: prompt raso, tema relacionamentos",ia-sem-voz,,,,,
010,"A liderança no cenário atual exige cada vez mais empatia e visão, e sendo assim é possível perceber que gestores inspiradores constroem equipes mais engajadas.","gerado: prompt raso, tema liderança",ia-sem-voz,,,,,
011,"Outrossim, a inovação tornou-se essencial para a competitividade das empresas, e nota-se que quem não se adapta tende a ficar para trás no mercado.","gerado: prompt raso, tema inovação",ia-sem-voz,,,,,
012,"O bem-estar desempenha um papel fundamental na rotina das pessoas no mundo de hoje, e vale ressaltar que pequenos hábitos geram grandes transformações.","gerado: prompt raso, tema bem-estar",ia-sem-voz,,,,,
013,"Dessa forma, a cultura organizacional influencia diretamente o clima de trabalho, e é possível perceber que valores bem definidos orientam as decisões da empresa.","gerado: prompt raso, tema cultura organizacional",ia-sem-voz,,,,,
014,"No cenário atual, o empreendedorismo cresce de maneira significativa, e constata-se que a coragem de inovar move a economia para frente.","gerado: prompt raso, tema empreendedorismo",ia-sem-voz,,,,,
015,"É importante destacar que a alimentação saudável impacta diretamente a longevidade, e nesse sentido nota-se que escolhas conscientes fazem toda a diferença.","gerado: prompt raso, tema nutrição",ia-sem-voz,,,,,
016,"Diante disso, a transformação digital desempenha um papel fundamental nas organizações, e cada vez mais pode-se notar a importância de investir em dados.","gerado: prompt raso, tema transformação digital",ia-sem-voz,,,,,
017,"Vale ressaltar que a inteligência emocional se tornou uma competência indispensável, e dessa forma é possível perceber que o autoconhecimento fortalece as relações.","gerado: prompt raso, tema inteligência emocional",ia-sem-voz,,,,,
018,"No mundo de hoje, o trabalho remoto consolidou-se como uma realidade, e em suma constata-se que a flexibilidade aumenta a satisfação dos colaboradores.","gerado: prompt raso, tema trabalho remoto",ia-sem-voz,,,,,
